id,year,round,date,day,hometeam,awayteam,venue,timeslot,homegoals,homebehinds,hometotal,awaygoals,awaybehinds,awaytotal
8808,2024,1,2024-03-16 19:30:00,Saturday,Geelong,St Kilda,Kardinia Park,N,10,16,76,9,14,68
8807,2024,1,2024-03-16 16:35:00,Saturday,Greater Western Sydney,North Melbourne,Sydney Showground,T,17,19,121,13,4,82
8806,2024,1,2024-03-16 13:45:00,Saturday,Essendon,Hawthorn,M.C.G.,D,17,5,107,11,17,83
8805,2024,1,2024-03-15 19:40:00,Friday,Collingwood,Sydney,M.C.G.,N,10,9,69,15,12,102
8804,2024,1,2024-03-14 19:30:00,Thursday,Carlton,Richmond,M.C.G.,N,12,14,86,12,9,81
8803,2024,0,2024-03-09 19:30:00,Saturday,Greater Western Sydney,Collingwood,Sydney Showground,N,18,6,114,11,16,82
8802,2024,0,2024-03-09 16:20:00,Saturday,Gold Coast,Richmond,Carrara,T,14,15,99,9,6,60
8801,2024,0,2024-03-08 19:40:00,Friday,Brisbane Lions,Carlton,Gabba,N,12,13,85,13,8,86
8800,2024,0,2024-03-07 19:30:00,Thursday,Sydney,Melbourne,S.C.G.,N,12,14,86,9,10,64
8634,2023,GF,2023-09-30 14:30:00,Saturday,Collingwood,Brisbane Lions,M.C.G.,D,12,18,90,13,8,86
8633,2023,PF,2023-09-23 17:15:00,Saturday,Brisbane Lions,Carlton,Gabba,T,11,13,79,9,9,63
8632,2023,PF,2023-09-22 19:50:00,Friday,Collingwood,Greater Western Sydney,M.C.G.,N,8,10,58,8,9,57
8631,2023,SF,2023-09-16 19:40:00,Saturday,Port Adelaide,Greater Western Sydney,Adelaide Oval,N,9,16,70,13,15,93
8630,2023,SF,2023-09-15 19:50:00,Friday,Melbourne,Carlton,M.C.G.,N,9,17,71,11,7,73
8629,2023,QF,2023-09-09 19:25:00,Saturday,Brisbane Lions,Port Adelaide,Gabba,N,19,9,123,11,9,75
8628,2023,EF,2023-09-09 15:20:00,Saturday,St Kilda,Greater Western Sydney,M.C.G.,D,11,11,77,15,11,101
